servername,region,rebalanced,killstat_version,match_id,game_mode,map,unix_time,game_time,player_count,attacker_name,attacker_id,attacker_current_weapon,attacker_current_weapon_mods,attacker_weapon_1,attacker_weapon_1_mods,attacker_weapon_2,attacker_weapon_2_mods,attacker_weapon_3,attacker_weapon_3_mods,attacker_offhand_weapon_1,attacker_offhand_weapon_2,victim_name,victim_id,victim_current_weapon,victim_current_weapon_mods,victim_weapon_1,victim_weapon_1_mods,victim_weapon_2,victim_weapon_2_mods,victim_weapon_3,victim_weapon_3_mods,victim_offhand_weapon_1,victim_offhand_weapon_2,cause_of_death,distance
rebalanced_ctf,eu,1.5.10,ks_2.0.0,6fab9f42,ctf,glitch,1659802909,80.817,1,fvnkhead,41e4b0c8,mastiff,112,mastiff,112,autopistol,22,rocket_launcher,7,satchel,heal,fvnkhead,41e4b0c8,mastiff,112,mastiff,112,autopistol,22,rocket_launcher,7,satchel,heal,invalid,0.000
rebalanced_ctf,eu,1.5.10,ks_2.0.0,6fab9f42,ctf,glitch,1659802923,95.133,1,fvnkhead,41e4b0c8,mastiff,112,mastiff,112,autopistol,22,rocket_launcher,7,satchel,heal,fvnkhead,41e4b0c8,mastiff,112,mastiff,112,autopistol,22,rocket_launcher,7,satchel,heal,satchel,0.000
rebalanced_ctf,eu,1.5.10,ks_2.0.0,1c4ecadb,ctf,glitch,1659803047,24.100,2,fvnkhead,41e4b0c8,mastiff,112,mastiff,112,autopistol,22,rocket_launcher,7,satchel,heal,fvnkhead,41e4b0c8,mastiff,112,mastiff,112,autopistol,22,rocket_launcher,7,satchel,heal,satchel,0.000
rebalanced_ctf,eu,1.5.10,ks_2.0.0,0b4cddb6,ctf,glitch,1659804388,100.567,2,fvnkhead,41e4b0c8,mastiff,112,mastiff,112,autopistol,22,rocket_launcher,7,satchel,heal,fvnkhead,41e4b0c8,mastiff,112,mastiff,112,autopistol,22,rocket_launcher,7,satchel,heal,invalid,0.000
rebalanced_ctf,eu,1.5.10,ks_2.0.0,0b4cddb6,ctf,glitch,1659804388,100.567,2,thedogeness,4e9e87ef,alternator_smg,704,alternator_smg,704,autopistol,22,arc_launcher,11,frag_grenade,grapple,thedogeness,4e9e87ef,alternator_smg,704,alternator_smg,704,autopistol,22,arc_launcher,11,frag_grenade,grapple,invalid,0.000
rebalanced_ctf,eu,1.5.10,ks_2.0.0,28869f9f,ctf,lf_deck,1659805037,640.483,1,HenSwoloOfficial,6829f185,car,226,car,226,semipistol,69,defender,70,frag_grenade,grapple,HenSwoloOfficial,6829f185,car,226,car,226,semipistol,69,defender,70,frag_grenade,grapple,invalid,0.000
rebalanced_ctf,eu,1.5.10,ks_2.0.0,3277cb69,ctf,glitch,1659805560,515.700,2,HenSwoloOfficial,6829f185,car,226,car,226,semipistol,69,defender,70,frag_grenade,grapple,HenSwoloOfficial,6829f185,car,226,car,226,semipistol,69,defender,70,frag_grenade,grapple,invalid,0.000
rebalanced_ctf,eu,1.5.10,ks_2.0.0,3277cb69,ctf,glitch,1659805560,515.700,2,fvnkhead,41e4b0c8,mastiff,112,mastiff,112,autopistol,22,rocket_launcher,7,satchel,heal,fvnkhead,41e4b0c8,mastiff,112,mastiff,112,autopistol,22,rocket_launcher,7,satchel,heal,invalid,0.000
rebalanced_ctf,eu,1.5.10,ks_2.0.0,1e384c56,ctf,lf_stacks,1659805592,25.850,2,fvnkhead,41e4b0c8,mastiff,112,mastiff,112,autopistol,22,rocket_launcher,7,satchel,heal,HenSwoloOfficial,6829f185,car,226,car,226,semipistol,69,defender,70,frag_grenade,grapple,mastiff,437.021
rebalanced_ctf,eu,1.5.10,ks_2.0.0,1e384c56,ctf,lf_stacks,1659805767,201.233,4,NecoArcEnjoyer,52808b4c,mastiff,1344,mastiff,1344,wingman,644,defender,134,thermite_grenade,shifter,fvnkhead,41e4b0c8,mastiff,112,mastiff,112,autopistol,22,rocket_launcher,7,satchel,heal,mastiff,402.761
rebalanced_ctf,eu,1.5.10,ks_2.0.0,1e384c56,ctf,lf_stacks,1659805784,217.467,4,fvnkhead,41e4b0c8,mastiff,112,mastiff,112,autopistol,22,rocket_launcher,7,satchel,heal,HenSwoloOfficial,6829f185,mastiff,1104,mastiff,1104,autopistol,22,defender,70,frag_grenade,cloak,mastiff,151.429
rebalanced_ctf,eu,1.5.10,ks_2.0.0,1e384c56,ctf,lf_stacks,1659805784,217.617,4,Khalmee,eb332005,softball,2304,softball,2304,semipistol,5,arc_launcher,136,thermite_grenade,holopilot,NecoArcEnjoyer,52808b4c,mastiff,1344,mastiff,1344,wingman,644,defender,134,thermite_grenade,shifter,softball,229.019
rebalanced_ctf,eu,1.5.10,ks_2.0.0,1e384c56,ctf,lf_stacks,1659805797,231.050,4,HenSwoloOfficial,6829f185,mastiff,1104,mastiff,1104,autopistol,22,defender,70,frag_grenade,cloak,Khalmee,eb332005,softball,2304,softball,2304,semipistol,5,arc_launcher,136,thermite_grenade,holopilot,mastiff,452.808
rebalanced_ctf,eu,1.5.10,ks_2.0.0,1e384c56,ctf,lf_stacks,1659805810,243.517,4,fvnkhead,41e4b0c8,mastiff,112,mastiff,112,autopistol,22,rocket_launcher,7,satchel,heal,NecoArcEnjoyer,52808b4c,mastiff,1344,mastiff,1344,wingman,644,defender,134,thermite_grenade,shifter,satchel,990.315
rebalanced_ctf,eu,1.5.10,ks_2.0.0,1e384c56,ctf,lf_stacks,1659805834,267.817,4,NecoArcEnjoyer,52808b4c,mastiff,1344,mastiff,1344,wingman,644,defender,134,thermite_grenade,shifter,Khalmee,eb332005,softball,2304,softball,2304,semipistol,5,arc_launcher,136,thermite_grenade,holopilot,mastiff,389.798
rebalanced_ctf,eu,1.5.10,ks_2.0.0,1e384c56,ctf,lf_stacks,1659805855,289.067,5,fvnkhead,41e4b0c8,mastiff,112,mastiff,112,autopistol,22,rocket_launcher,7,satchel,heal,zDystinct,52cda4d1,car,2112,car,2112,autopistol,576,defender,192,thermite_grenade,heal,mastiff,393.987
rebalanced_ctf,eu,1.5.10,ks_2.0.0,1e384c56,ctf,lf_stacks,1659805860,293.700,4,fvnkhead,41e4b0c8,mastiff,112,mastiff,112,autopistol,22,rocket_launcher,7,satchel,heal,NecoArcEnjoyer,52808b4c,mastiff,1344,mastiff,1344,wingman,644,defender,134,thermite_grenade,shifter,mastiff,175.733
rebalanced_ctf,eu,1.5.10,ks_2.0.0,1e384c56,ctf,lf_stacks,1659805866,300.183,4,Khalmee,eb332005,mastiff,1108,mastiff,1108,wingman,644,defender,134,frag_grenade,heal,HenSwoloOfficial,6829f185,mastiff,1104,mastiff,1104,autopistol,22,defender,70,frag_grenade,cloak,frag_grenade,266.444
